month,currency,rate_to_brl
2023-01,BRL,1.000000
2023-02,BRL,1.000000
2023-03,BRL,1.000000
2023-04,BRL,1.000000
2023-05,BRL,1.000000
2023-06,BRL,1.000000
2023-07,BRL,1.000000
2023-08,BRL,1.000000
2023-09,BRL,1.000000
2023-10,BRL,1.000000
2023-11,BRL,1.000000
2023-12,BRL,1.000000
2024-01,BRL,1.000000
2024-02,BRL,1.000000
2024-03,BRL,1.000000
2024-04,BRL,1.000000
2024-05,BRL,1.000000
2024-06,BRL,1.000000
2024-07,BRL,1.000000
2024-08,BRL,1.000000
2024-09,BRL,1.000000
2024-10,BRL,1.000000
2024-11,BRL,1.000000
2024-12,BRL,1.000000
2023-01,USD,5.201400
2023-02,USD,5.183000
2023-03,USD,5.224600
2023-04,USD,5.017900
2023-05,USD,4.968300
2023-06,USD,4.841700
2023-07,USD,4.812500
2023-08,USD,4.903800
2023-09,USD,4.947200
2023-10,USD,5.083600
2023-11,USD,4.923500
2023-12,USD,4.901100
2024-01,USD,4.918700
2024-02,USD,4.962400
2024-03,USD,4.991300
2024-04,USD,5.138900
2024-05,USD,5.152600
2024-06,USD,5.364700
2024-07,USD,5.531200
2024-08,USD,5.548800
2024-09,USD,5.478400
2024-10,USD,5.601500
2024-11,USD,5.792300
2024-12,USD,6.048900
